8087	9.79843e-08	3.31383e-06	2.76002e-05	0.000138081	0.000518065	0.00159586	0.00421703	0.00977692	0.0201134	0.0368953	0.0604109	0.0881893	0.114502	0.131798	0.134057	0.120336	0.0957763	0.0686033	0.0453509	0.0284646	0.0173089	0.0102393	0.0058308	0.00314019	0.00156879	0.000712399	0.000287496	0.00010051	2.95762e-05	7.09095e-06	1.33502e-06	2.09567e-07	
18087	6.44946e-06	0.000197463	0.00311048	0.0218443	0.0530465	0.0664696	0.0704136	0.0746598	0.0769853	0.078516	0.0804067	0.0813204	0.079367	0.0736678	0.0645238	0.0531055	0.041007	0.0297432	0.0203498	0.0132153	0.00818126	0.00481526	0.00266404	0.00136204	0.000631268	0.000259906	9.3055e-05	2.83225e-05	7.1512e-06	1.45817e-06	2.32935e-07	3.05452e-08	
28087	0.000243777	0.00837568	0.0748962	0.238883	0.316938	0.202123	0.0816498	0.0312986	0.0153892	0.00954728	0.00645898	0.00444351	0.00306741	0.00212888	0.00148624	0.00103808	0.000718741	0.000488833	0.000324315	0.000208774	0.00012969	7.7157e-05	4.34887e-05	2.28924e-05	1.10623e-05	4.81263e-06	1.8445e-06	6.07829e-07	1.67532e-07	3.74194e-08	6.53105e-09	9.35633e-10	
38087	5.54994e-08	3.67963e-06	8.37706e-05	0.000840229	0.00309295	0.00538821	0.00813813	0.01467	0.027178	0.0467563	0.072073	0.0977322	0.115757	0.120451	0.112156	0.0960307	0.0777378	0.0606473	0.0459313	0.033729	0.0238706	0.0161066	0.0101981	0.00594516	0.00313094	0.00146367	0.00059755	0.000209511	6.1878e-05	1.502e-05	2.90166e-06	4.77447e-07	
48087	0.000185119	0.00230768	0.00986304	0.0320005	0.0909316	0.187578	0.235407	0.191101	0.116675	0.060039	0.0300076	0.0162254	0.00958663	0.00599719	0.0038916	0.00260454	0.00179322	0.00125913	0.000887935	0.000618143	0.000418252	0.000271318	0.000166531	9.53833e-05	5.02058e-05	2.38669e-05	1.00453e-05	3.65857e-06	1.12294e-06	2.81723e-07	5.57592e-08	9.32156e-09	
58087	5.78912e-05	0.00209011	0.0168621	0.0654898	0.161574	0.262427	0.246539	0.134198	0.0546232	0.0230266	0.0118562	0.0072018	0.00472569	0.00318356	0.00215278	0.001445	0.000957136	0.000623445	0.000397882	0.000247452	0.00014879	8.5586e-05	4.64821e-05	2.34788e-05	1.08483e-05	4.50257e-06	1.64526e-06	5.1738e-07	1.36419e-07	2.92679e-08	4.93485e-09	6.86127e-10	
68087	0.000441966	0.00433113	0.0154634	0.0411662	0.0879809	0.150614	0.18834	0.175489	0.135091	0.0893036	0.0520135	0.0277861	0.0142372	0.00735264	0.00401637	0.00237122	0.00149014	0.000964475	0.000624115	0.000395437	0.000241633	0.000140563	7.68517e-05	3.89541e-05	1.80291e-05	7.48956e-06	2.73829e-06	8.61496e-07	2.27243e-07	4.87694e-08	8.22503e-09	1.14379e-09	
78087	0.00165148	0.0479146	0.172625	0.271022	0.24995	0.152743	0.0664461	0.0229648	0.0076611	0.00298517	0.00144272	0.000832683	0.000539299	0.000371901	0.00026417	0.000189353	0.000134973	9.45848e-05	6.45259e-05	4.24613e-05	2.6702e-05	1.58866e-05	8.84338e-06	4.54814e-06	2.13017e-06	8.93594e-07	3.29365e-07	1.04322e-07	2.76729e-08	5.96709e-09	1.01037e-09	1.41032e-10	
88087	0.00891362	0.325329	0.400003	0.156044	0.0497526	0.0242577	0.01398	0.00791393	0.00447523	0.00268205	0.00178307	0.00129834	0.000988262	0.000756946	0.000571131	0.000419677	0.000298293	0.000204189	0.000134239	8.45808e-05	5.094e-05	2.91834e-05	1.5771e-05	7.94008e-06	3.66518e-06	1.52248e-06	5.5731e-07	1.75627e-07	4.64059e-08	9.97543e-09	1.68482e-09	2.34631e-10	
98087	0.0163097	0.383975	0.429641	0.140578	0.0234598	0.00347698	0.000959485	0.000495207	0.00032827	0.000230689	0.000163551	0.000115644	8.14656e-05	5.73216e-05	4.03866e-05	2.84837e-05	2.00209e-05	1.39119e-05	9.45853e-06	6.22326e-06	3.91921e-06	2.33656e-06	1.30349e-06	6.71787e-07	3.15244e-07	1.32472e-07	4.8902e-08	1.55098e-08	4.11904e-09	8.89095e-10	1.5068e-10	2.1051e-11	
