chr pos1 pos2 lunitmin lunitmax nrep
chr_18 300001 400000 10 20 29.2
chr_18 400001 500000 10 20 315
chr_18 500001 600000 10 20 50.8
chr_18 600001 700000 10 20 245.3
chr_18 700001 800000 10 20 188.8
chr_18 800001 900000 10 20 49.7
chr_18 900001 1000000 10 20 139.1
chr_18 1000001 1100000 10 20 149.3
chr_18 1100001 1200000 10 20 139.8
chr_18 1400001 1500000 10 20 19.4
chr_18 1500001 1600000 10 20 37.4
chr_18 1800001 1900000 10 20 29.5
chr_18 3200001 3300000 10 20 23.8
chr_18 3300001 3400000 10 20 11.5
chr_18 3400001 3500000 10 20 17.9
chr_18 3500001 3600000 10 20 185.2
chr_18 3600001 3700000 10 20 12.8
chr_18 3700001 3800000 10 20 81.3
chr_18 3900001 4000000 10 20 188.5
chr_18 4200001 4300000 10 20 75.4
chr_18 4600001 4700000 10 20 34.9
chr_18 5000001 5100000 10 20 20.8
chr_18 5100001 5200000 10 20 23
chr_18 5600001 5700000 10 20 22.9
chr_18 5700001 5800000 10 20 15.5
chr_18 5800001 5900000 10 20 87
chr_18 6000001 6100000 10 20 32.2
chr_18 6100001 6200000 10 20 43.5
chr_18 6200001 6300000 10 20 93
chr_18 6300001 6400000 10 20 77.5
chr_18 7100001 7200000 10 20 157.9
chr_18 7400001 7500000 10 20 42
chr_18 7700001 7800000 10 20 10.5
chr_18 7800001 7900000 10 20 40.7
chr_18 8200001 8300000 10 20 100.2
chr_18 8300001 8400000 10 20 21.9
chr_18 8400001 8500000 10 20 66.1
chr_18 8600001 8700000 10 20 16.9
chr_18 8900001 9000000 10 20 30.6
chr_18 9000001 9100000 10 20 302.2
chr_18 9100001 9200000 10 20 124.5
chr_18 9200001 9300000 10 20 66.6
chr_18 9300001 9400000 10 20 34.1
chr_18 9400001 9500000 10 20 62.9
chr_18 9500001 9600000 10 20 79.9
chr_18 9600001 9700000 10 20 37.6
chr_18 9700001 9800000 10 20 168.3
chr_18 9900001 10000000 10 20 204.1
chr_18 10000001 10100000 10 20 93.1
chr_18 10100001 10200000 10 20 181.8
chr_18 10200001 10300000 10 20 38.5
chr_18 10300001 10400000 10 20 67.8
chr_18 10400001 10500000 10 20 15.3
chr_18 10600001 10700000 10 20 140
chr_18 10700001 10800000 10 20 110
chr_18 10800001 10900000 10 20 254.5
chr_18 10900001 11000000 10 20 49.5
chr_18 11000001 11100000 10 20 58.6
chr_18 11100001 11200000 10 20 258.4
chr_18 11300001 11400000 10 20 309.8
chr_18 11400001 11500000 10 20 39.1
chr_18 11500001 11600000 10 20 189.4
chr_18 11600001 11700000 10 20 122.5
chr_18 11700001 11800000 10 20 168.5
chr_18 11800001 11900000 10 20 102.6
chr_18 11900001 12000000 10 20 10.6
chr_18 200001 300000 20 30 46.7
chr_18 400001 500000 20 30 66
chr_18 500001 600000 20 30 107.4
chr_18 600001 700000 20 30 56.6
chr_18 700001 800000 20 30 181.4
chr_18 800001 900000 20 30 31.7
chr_18 1000001 1100000 20 30 11.5
chr_18 1100001 1200000 20 30 14.3
chr_18 1500001 1600000 20 30 10.5
chr_18 1900001 2000000 20 30 13.1
chr_18 2000001 2100000 20 30 40.9
chr_18 2600001 2700000 20 30 11.3
chr_18 3100001 3200000 20 30 11.5
chr_18 3500001 3600000 20 30 30.3
chr_18 3600001 3700000 20 30 12.8
chr_18 3700001 3800000 20 30 17.1
chr_18 3800001 3900000 20 30 33.9
