chr pos1 pos2 lunitmin lunitmax nrep
chr_7 500001 600000 10 20 74.4
chr_7 700001 800000 10 20 10.4
chr_7 1000001 1100000 10 20 25.7
chr_7 1500001 1600000 10 20 210.5
chr_7 1700001 1800000 10 20 62.3
chr_7 1900001 2000000 10 20 30.4
chr_7 2600001 2700000 10 20 76.1
chr_7 2700001 2800000 10 20 28.4
chr_7 3600001 3700000 10 20 23.9
chr_7 3900001 4000000 10 20 30.2
chr_7 4100001 4200000 10 20 11.9
chr_7 4200001 4300000 10 20 48.4
chr_7 4600001 4700000 10 20 91.4
chr_7 4700001 4800000 10 20 18.3
chr_7 4900001 5000000 10 20 24.2
chr_7 5700001 5800000 10 20 200.5
chr_7 5800001 5900000 10 20 11
chr_7 6000001 6100000 10 20 27.4
chr_7 8400001 8500000 10 20 23.9
chr_7 10000001 10100000 10 20 28.4
chr_7 10300001 10400000 10 20 15.6
chr_7 11300001 11400000 10 20 58.6
chr_7 11400001 11500000 10 20 19
chr_7 11700001 11800000 10 20 11.1
chr_7 12500001 12600000 10 20 49.8
chr_7 13600001 13700000 10 20 77
chr_7 14000001 14100000 10 20 18.3
chr_7 14500001 14600000 10 20 105.9
chr_7 14800001 14900000 10 20 10.4
chr_7 15000001 15100000 10 20 12.7
chr_7 15800001 15900000 10 20 21.1
chr_7 16000001 16100000 10 20 21.9
chr_7 16100001 16200000 10 20 22.6
chr_7 16600001 16700000 10 20 29.8
chr_7 16800001 16900000 10 20 10.8
chr_7 17600001 17700000 10 20 48.9
chr_7 18600001 18700000 10 20 18.5
chr_7 19000001 19100000 10 20 21.8
chr_7 19500001 19600000 10 20 14.1
chr_7 20800001 20900000 10 20 40.7
chr_7 20900001 21000000 10 20 11
chr_7 21400001 21500000 10 20 20.4
chr_7 22000001 22100000 10 20 46.2
chr_7 24700001 24800000 10 20 22.3
chr_7 25800001 25900000 10 20 22.2
chr_7 26400001 26500000 10 20 10.1
chr_7 26900001 27000000 10 20 36.7
chr_7 27700001 27800000 10 20 95.5
chr_7 28100001 28200000 10 20 49.9
chr_7 28200001 28300000 10 20 32.2
chr_7 28400001 28500000 10 20 11.2
chr_7 28900001 29000000 10 20 35.2
chr_7 30000001 30100000 10 20 17.8
chr_7 31000001 31100000 10 20 14.4
chr_7 31500001 31600000 10 20 10.1
chr_7 32000001 32100000 10 20 10.4
chr_7 32900001 33000000 10 20 16.2
chr_7 33700001 33800000 10 20 10.1
chr_7 33800001 33900000 10 20 10.7
