chr pos1 pos2 lunitmin lunitmax nrep
chr_19 100001 200000 10 20 10.6
chr_19 400001 500000 10 20 30.1
chr_19 800001 900000 10 20 133.9
chr_19 900001 1000000 10 20 228.9
chr_19 1000001 1100000 10 20 110
chr_19 1300001 1400000 10 20 48.4
chr_19 1400001 1500000 10 20 21.8
chr_19 1500001 1600000 10 20 62.9
chr_19 1600001 1700000 10 20 66.8
chr_19 1800001 1900000 10 20 38.2
chr_19 2300001 2400000 10 20 10.5
chr_19 2500001 2600000 10 20 65.2
chr_19 2600001 2700000 10 20 102.1
chr_19 2700001 2800000 10 20 55.6
chr_19 2800001 2900000 10 20 14.8
chr_19 2900001 3000000 10 20 185.4
chr_19 3000001 3100000 10 20 82.5
chr_19 3100001 3200000 10 20 10.6
chr_19 3200001 3300000 10 20 31.4
chr_19 3300001 3400000 10 20 92.8
chr_19 3400001 3500000 10 20 10.3
chr_19 3700001 3800000 10 20 32.6
chr_19 4100001 4200000 10 20 165.8
chr_19 4200001 4300000 10 20 153.2
chr_19 4300001 4400000 10 20 42.9
chr_19 4400001 4500000 10 20 37.7
chr_19 4500001 4600000 10 20 91
chr_19 4600001 4700000 10 20 85
chr_19 4700001 4800000 10 20 60.1
chr_19 4900001 5000000 10 20 16.8
chr_19 5000001 5100000 10 20 10.5
chr_19 5100001 5200000 10 20 13.3
chr_19 6000001 6100000 10 20 10.9
chr_19 6100001 6200000 10 20 21.2
chr_19 6300001 6400000 10 20 29.6
chr_19 6800001 6900000 10 20 43.7
chr_19 6900001 7000000 10 20 88.3
chr_19 7300001 7400000 10 20 33.5
chr_19 7400001 7500000 10 20 74.7
chr_19 7500001 7600000 10 20 31.5
chr_19 7600001 7700000 10 20 27.3
chr_19 7700001 7800000 10 20 36.5
chr_19 7900001 8000000 10 20 10.8
chr_19 8000001 8100000 10 20 115
chr_19 8100001 8200000 10 20 75.1
chr_19 8200001 8300000 10 20 121.1
chr_19 8300001 8400000 10 20 108.7
chr_19 8400001 8500000 10 20 13.6
chr_19 8500001 8600000 10 20 17.6
chr_19 8700001 8800000 10 20 10.6
chr_19 9000001 9100000 10 20 111.3
chr_19 9100001 9200000 10 20 51.2
chr_19 9200001 9300000 10 20 98.1
chr_19 9300001 9400000 10 20 38.6
chr_19 9400001 9500000 10 20 200.8
chr_19 9500001 9600000 10 20 83.9
chr_19 9600001 9700000 10 20 43.8
chr_19 9700001 9800000 10 20 14.2
chr_19 9900001 10000000 10 20 65.6
chr_19 10000001 10100000 10 20 158.7
chr_19 10100001 10200000 10 20 70.8
chr_19 10200001 10300000 10 20 188.8
chr_19 10300001 10400000 10 20 49.5
chr_19 10400001 10500000 10 20 186.7
chr_19 10500001 10600000 10 20 19.8
chr_19 10600001 10700000 10 20 104.8
chr_19 10700001 10800000 10 20 275.6
chr_19 10800001 10900000 10 20 247.9
chr_19 10900001 11000000 10 20 427.2
chr_19 11000001 11100000 10 20 129.2
chr_19 11100001 11200000 10 20 52.5
chr_19 11200001 11300000 10 20 15.5
chr_19 11400001 11500000 10 20 42.7
chr_19 400001 500000 20 30 11
chr_19 900001 1000000 20 30 31
chr_19 1000001 1100000 20 30 60.7
chr_19 1400001 1500000 20 30 13.6
chr_19 1600001 1700000 20 30 10.6
chr_19 1700001 1800000 20 30 34.7
chr_19 2500001 2600000 20 30 30.5
chr_19 2800001 2900000 20 30 14
chr_19 2900001 3000000 20 30 36.5
chr_19 3000001 3100000 20 30 60.1
chr_19 3100001 3200000 20 30 18
chr_19 3200001 3300000 20 30 29.9
chr_19 3300001 3400000 20 30 45.8
chr_19 3500001 3600000 20 30 13.4
chr_19 4000001 4100000 20 30 14.1
chr_19 4200001 4300000 20 30 23
chr_19 4500001 4600000 20 30 12.4
chr_19 4600001 4700000 20 30 89.8
chr_19 4700001 4800000 20 30 18.6
chr_19 4800001 4900000 20 30 23.7
chr_19 5000001 5100000 20 30 17.3
chr_19 6900001 7000000 20 30 55.3
chr_19 7500001 7600000 20 30 15.3
chr_19 7700001 7800000 20 30 10.3
chr_19 7800001 7900000 20 30 24.5
chr_19 8000001 8100000 20 30 48.8
chr_19 8100001 8200000 20 30 63.3
chr_19 8200001 8300000 20 30 65.2
chr_19 8400001 8500000 20 30 12
chr_19 8500001 8600000 20 30 10.5
chr_19 8600001 8700000 20 30 19.2
chr_19 8800001 8900000 20 30 49.4
chr_19 9000001 9100000 20 30 37.2
chr_19 9100001 9200000 20 30 143.2
chr_19 9200001 9300000 20 30 15.3
chr_19 9300001 9400000 20 30 37.3
chr_19 9400001 9500000 20 30 77.4
chr_19 9600001 9700000 20 30 23
chr_19 9700001 9800000 20 30 37.9
chr_19 10000001 10100000 20 30 82.6
chr_19 10100001 10200000 20 30 17.9
chr_19 10200001 10300000 20 30 31.2
chr_19 10300001 10400000 20 30 104.7
chr_19 10400001 10500000 20 30 42.8
chr_19 10500001 10600000 20 30 59.4
chr_19 10600001 10700000 20 30 68.7
chr_19 10700001 10800000 20 30 260.8
chr_19 10800001 10900000 20 30 72.7
chr_19 10900001 11000000 20 30 176.4
chr_19 11000001 11100000 20 30 110.3
chr_19 11100001 11200000 20 30 105.1
chr_19 11300001 11400000 20 30 344.2
chr_19 1600001 1700000 30 40 26.9
chr_19 1800001 1900000 30 40 15.3
chr_19 2900001 3000000 30 40 134.3
chr_19 3000001 3100000 30 40 17.3
chr_19 3200001 3300000 30 40 18.7
chr_19 3700001 3800000 30 40 16.3
chr_19 4200001 4300000 30 40 25.8
chr_19 4600001 4700000 30 40 18.9
chr_19 4700001 4800000 30 40 20
chr_19 7700001 7800000 30 40 11.9
chr_19 7800001 7900000 30 40 12.3
chr_19 7900001 8000000 30 40 14
chr_19 8000001 8100000 30 40 13.1
chr_19 8100001 8200000 30 40 16.1
chr_19 8200001 8300000 30 40 59.3
chr_19 9300001 9400000 30 40 33.3
chr_19 9600001 9700000 30 40 10.1
chr_19 9800001 9900000 30 40 10.8
chr_19 9900001 10000000 30 40 12.5
chr_19 10000001 10100000 30 40 71.2
chr_19 10100001 10200000 30 40 22.4
chr_19 10400001 10500000 30 40 17
chr_19 10700001 10800000 30 40 12.4
chr_19 10800001 10900000 30 40 27.5
chr_19 10900001 11000000 30 40 13.6
chr_19 11000001 11100000 30 40 34
chr_19 900001 1000000 40 50 22.5
chr_19 2600001 2700000 40 50 21.6
chr_19 2900001 3000000 40 50 11.2
chr_19 3000001 3100000 40 50 15.8
chr_19 3200001 3300000 40 50 23.6
chr_19 4100001 4200000 40 50 24.4
chr_19 4700001 4800000 40 50 15
chr_19 6400001 6500000 40 50 12.4
chr_19 7100001 7200000 40 50 13
chr_19 8200001 8300000 40 50 15.5
chr_19 9000001 9100000 40 50 10.7
chr_19 9100001 9200000 40 50 16.6
chr_19 9400001 9500000 40 50 41.4
chr_19 9600001 9700000 40 50 13
chr_19 10000001 10100000 40 50 16.4
chr_19 10300001 10400000 40 50 12.7
chr_19 10400001 10500000 40 50 21.4
chr_19 10700001 10800000 40 50 10.8
chr_19 10800001 10900000 40 50 10.5
chr_19 10900001 11000000 40 50 34.3
chr_19 11100001 11200000 40 50 20.2
chr_19 4600001 4700000 50 60 18.8
chr_19 6800001 6900000 50 60 14.4
chr_19 6900001 7000000 50 60 16.2
chr_19 7800001 7900000 50 60 10.1
chr_19 8100001 8200000 50 60 10.7
chr_19 8500001 8600000 50 60 13.2
chr_19 9400001 9500000 50 60 10.7
chr_19 10700001 10800000 50 60 10.9
chr_19 10800001 10900000 50 60 12.2
chr_19 11000001 11100000 50 60 10.5
chr_19 11300001 11400000 50 60 173.7
chr_19 9100001 9200000 60 70 11.3
