chr pos1 pos2 lunitmin lunitmax nrep
chr_15 100001 200000 10 20 35.6
chr_15 200001 300000 10 20 13.9
chr_15 300001 400000 10 20 52.5
chr_15 600001 700000 10 20 40.2
chr_15 700001 800000 10 20 16.8
chr_15 800001 900000 10 20 25.9
chr_15 1000001 1100000 10 20 13.2
chr_15 1200001 1300000 10 20 42.7
chr_15 1600001 1700000 10 20 59.4
chr_15 1900001 2000000 10 20 972.9
chr_15 2300001 2400000 10 20 14.6
chr_15 2800001 2900000 10 20 16.6
chr_15 3100001 3200000 10 20 46.2
chr_15 3200001 3300000 10 20 71
chr_15 3600001 3700000 10 20 19.4
chr_15 3700001 3800000 10 20 285.5
chr_15 3900001 4000000 10 20 91.6
chr_15 4000001 4100000 10 20 43.2
chr_15 4100001 4200000 10 20 55.6
chr_15 4200001 4300000 10 20 31.9
chr_15 4700001 4800000 10 20 11.6
chr_15 5100001 5200000 10 20 26.5
chr_15 5400001 5500000 10 20 17.7
chr_15 5700001 5800000 10 20 13.9
chr_15 6100001 6200000 10 20 45
chr_15 6200001 6300000 10 20 14.4
chr_15 6300001 6400000 10 20 143.1
chr_15 6400001 6500000 10 20 85.6
chr_15 6500001 6600000 10 20 57.6
chr_15 6600001 6700000 10 20 24.6
chr_15 6700001 6800000 10 20 141.5
chr_15 6900001 7000000 10 20 62.3
chr_15 7300001 7400000 10 20 10.3
chr_15 7400001 7500000 10 20 42.1
chr_15 7600001 7700000 10 20 84.7
chr_15 7800001 7900000 10 20 76.8
chr_15 7900001 8000000 10 20 59.7
chr_15 8800001 8900000 10 20 68.2
chr_15 9000001 9100000 10 20 26.1
chr_15 9200001 9300000 10 20 10.7
chr_15 9400001 9500000 10 20 10.2
chr_15 10900001 11000000 10 20 61.1
chr_15 11000001 11100000 10 20 53.9
chr_15 11200001 11300000 10 20 31.5
chr_15 11500001 11600000 10 20 20.5
chr_15 12000001 12100000 10 20 12.4
chr_15 12200001 12300000 10 20 26.9
chr_15 12500001 12600000 10 20 35.3
chr_15 12600001 12700000 10 20 13.2
chr_15 12800001 12900000 10 20 81.6
chr_15 13000001 13100000 10 20 19.9
chr_15 13300001 13400000 10 20 12.6
chr_15 13500001 13600000 10 20 110.5
chr_15 13700001 13800000 10 20 42.2
chr_15 13900001 14000000 10 20 26.4
chr_15 14000001 14100000 10 20 19.6
chr_15 14100001 14200000 10 20 57.6
