chr pos1 pos2 lunitmin lunitmax nrep
chr_30 100001 200000 10 20 43.9
chr_30 800001 900000 10 20 17.2
chr_30 900001 1000000 10 20 52.8
chr_30 1100001 1200000 10 20 72.7
chr_30 1200001 1300000 10 20 37.6
chr_30 1300001 1400000 10 20 309.2
chr_30 1400001 1500000 10 20 56.2
chr_30 1700001 1800000 10 20 546.4
chr_30 1800001 1900000 10 20 979.7
chr_30 1900001 2000000 10 20 651.4
chr_30 2000001 2100000 10 20 10.7
chr_30 900001 1000000 20 30 13.6
chr_30 1000001 1100000 20 30 24.5
chr_30 1200001 1300000 20 30 20.5
chr_30 1300001 1400000 20 30 44.6
chr_30 1700001 1800000 20 30 435.5
chr_30 1800001 1900000 20 30 686.2
chr_30 1900001 2000000 20 30 646.1
chr_30 2000001 2100000 20 30 95.4
chr_30 400001 500000 30 40 13.1
chr_30 1100001 1200000 30 40 16.5
chr_30 1300001 1400000 30 40 63.4
chr_30 1400001 1500000 30 40 25.7
chr_30 1700001 1800000 30 40 101.9
chr_30 1800001 1900000 30 40 159.8
chr_30 1900001 2000000 30 40 199.9
chr_30 2000001 2100000 30 40 14.5
chr_30 1200001 1300000 40 50 79.9
chr_30 1300001 1400000 40 50 25.7
chr_30 1400001 1500000 40 50 11.7
chr_30 1700001 1800000 40 50 61.1
chr_30 1800001 1900000 40 50 114.2
chr_30 1900001 2000000 40 50 119.7
chr_30 1300001 1400000 50 60 12.8
chr_30 1400001 1500000 50 60 12.8
chr_30 1700001 1800000 50 60 10.4
chr_30 1800001 1900000 50 60 72.3
chr_30 1900001 2000000 50 60 26.8
chr_30 2000001 2100000 50 60 10.7
chr_30 1000001 1100000 60 70 12.1
chr_30 1300001 1400000 60 70 10.1
chr_30 1700001 1800000 60 70 35.2
chr_30 1800001 1900000 60 70 30
chr_30 1900001 2000000 60 70 10.8
chr_30 1300001 1400000 70 80 10.9
chr_30 1900001 2000000 70 80 31.1
chr_30 1900001 2000000 120 130 11.3
