chr pos1 pos2 lunitmin lunitmax nrep
chr_29 1 100000 10 20 1188.8
chr_29 100001 200000 10 20 87
chr_29 200001 300000 10 20 99
chr_29 300001 400000 10 20 145.6
chr_29 600001 700000 10 20 234
chr_29 700001 800000 10 20 78.2
chr_29 800001 900000 10 20 123.9
chr_29 900001 1000000 10 20 126.9
chr_29 1000001 1100000 10 20 55.4
chr_29 1100001 1200000 10 20 23.1
chr_29 1200001 1300000 10 20 32.9
chr_29 1400001 1500000 10 20 68.1
chr_29 1500001 1600000 10 20 27.2
chr_29 1600001 1700000 10 20 201.5
chr_29 1700001 1800000 10 20 643.8
chr_29 1800001 1900000 10 20 464.8
chr_29 1900001 2000000 10 20 104.1
chr_29 2000001 2100000 10 20 145
chr_29 2100001 2200000 10 20 576.9
chr_29 1 100000 20 30 749.2
chr_29 100001 200000 20 30 120.2
chr_29 200001 300000 20 30 42.5
chr_29 300001 400000 20 30 55.2
chr_29 600001 700000 20 30 10.4
chr_29 700001 800000 20 30 30.4
chr_29 800001 900000 20 30 100.7
chr_29 900001 1000000 20 30 39.6
chr_29 1000001 1100000 20 30 10.4
chr_29 1100001 1200000 20 30 38.5
chr_29 1200001 1300000 20 30 10.8
chr_29 1400001 1500000 20 30 404.2
chr_29 1600001 1700000 20 30 155.6
chr_29 1700001 1800000 20 30 258.6
chr_29 1800001 1900000 20 30 439.1
chr_29 1900001 2000000 20 30 43.5
chr_29 2000001 2100000 20 30 18.9
chr_29 2100001 2200000 20 30 193.4
chr_29 1 100000 30 40 148.7
chr_29 100001 200000 30 40 31.8
chr_29 200001 300000 30 40 79.8
chr_29 300001 400000 30 40 18
chr_29 400001 500000 30 40 18.8
chr_29 500001 600000 30 40 33.9
chr_29 900001 1000000 30 40 51.2
chr_29 1600001 1700000 30 40 55.7
chr_29 1700001 1800000 30 40 84.5
chr_29 1800001 1900000 30 40 161.1
chr_29 2000001 2100000 30 40 105.2
chr_29 2100001 2200000 30 40 16.8
chr_29 1 100000 40 50 128.1
chr_29 100001 200000 40 50 41.3
chr_29 300001 400000 40 50 27.9
chr_29 700001 800000 40 50 21.2
chr_29 800001 900000 40 50 20.9
chr_29 1400001 1500000 40 50 231.1
chr_29 1600001 1700000 40 50 13
chr_29 1700001 1800000 40 50 18.7
chr_29 1800001 1900000 40 50 54.1
chr_29 2000001 2100000 40 50 10.6
chr_29 2100001 2200000 40 50 85.4
chr_29 1 100000 50 60 78
chr_29 100001 200000 50 60 10.6
chr_29 200001 300000 50 60 42.3
chr_29 1400001 1500000 50 60 204.7
chr_29 1700001 1800000 50 60 15.4
chr_29 1800001 1900000 50 60 40.9
chr_29 1900001 2000000 50 60 15.8
chr_29 1 100000 60 70 12.7
chr_29 500001 600000 60 70 10.1
chr_29 1800001 1900000 60 70 15.4
chr_29 2000001 2100000 60 70 17.5
chr_29 2100001 2200000 70 80 56.7
chr_29 2100001 2200000 80 90 13.1
chr_29 100001 200000 90 100 11.9
chr_29 1800001 1900000 90 100 10.3
chr_29 2000001 2100000 90 100 11.7
chr_29 2100001 2200000 140 150 16
