chr start stop Azores/Belgium Azores/Canary Azores/CapeVerde Azores/Spain_Caz Belgium/Canary Belgium/CapeVerde Belgium/Spain_Caz Canary/CapeVerde Canary/Spain_Caz CapeVerde/Spain_Caz
chr_21 1 10000 6.30769230769231e-05 3.30769230769231e-05 0.000104895104895105 6e-05 4.8e-05 0.000114545454545455 7.6e-05 8.45454545454546e-05 4.8e-05 0.000114545454545455
chr_21 10001 20000 0.00113384615384615 0.00106846153846154 0.00122167832167832 0.00109 0.000772 0.00104 0.00082 0.000946363636363636 0.00068 0.000959090909090909
chr_21 20001 30000 0.000683846153846154 0.000755384615384615 0.000713986013986014 0.000750769230769231 0.000646 0.000659090909090909 0.00065 0.00066 0.00071 0.000743636363636364
chr_21 30001 40000 0.000955384615384615 0.000930769230769231 0.000976923076923077 0.00102384615384615 0.000822 0.000947272727272727 0.000808 0.000901818181818182 0.000856 0.000977272727272727
chr_21 40001 50000 0.000636923076923077 0.000615384615384615 0.000767132867132867 0.000682307692307692 0.00064 0.000809090909090909 0.000672 0.00074 0.000652 0.000799090909090909
chr_21 50001 60000 0.000744615384615385 0.000664615384615385 0.000767832167832168 0.000789230769230769 0.000636 0.000765454545454545 0.000744 0.000612727272727273 0.000672 0.000772727272727273
chr_21 60001 70000 0.000583846153846154 0.000633846153846154 0.00063006993006993 0.000608461538461539 0.000598 0.000668181818181818 0.000568 0.000672727272727273 0.000618 0.000660909090909091
chr_21 70001 80000 0.000705384615384615 0.000724615384615385 0.000741258741258741 0.000584615384615385 0.000748 0.000815454545454545 0.000616 0.000770909090909091 0.000622 0.000625454545454545
chr_21 80001 90000 0.000527692307692308 0.000558461538461538 0.000604895104895105 0.000536153846153846 0.00048 0.000561818181818182 0.000432 0.00056 0.000484 0.000537272727272727
chr_21 90001 1e+05 0.000460769230769231 0.000660769230769231 0.00069020979020979 0.000490769230769231 0.000626 0.000693636363636364 0.000436 0.000817272727272727 0.000624 0.000703636363636364
chr_21 100001 110000 0.000573076923076923 0.000443076923076923 0.00056013986013986 0.000488461538461539 0.000546 0.000668181818181818 0.00052 0.000556363636363636 0.00047 0.000580909090909091
chr_21 110001 120000 0.000563846153846154 0.000550769230769231 0.000553146853146853 0.000517692307692308 0.000492 0.000526363636363636 0.00043 0.000489090909090909 0.00043 0.000475454545454546
chr_21 120001 130000 0.000493076923076923 0.000405384615384615 0.000359440559440559 0.000409230769230769 0.000474 0.000468181818181818 0.00045 0.000366363636363636 0.000374 0.000367272727272727
chr_21 130001 140000 0.000858461538461538 0.000757692307692308 0.000846153846153846 0.000953076923076923 0.000702 0.000954545454545454 0.000858 0.000782727272727273 8e-04 0.00104636363636364
chr_21 140001 150000 0.00122384615384615 0.00128538461538462 0.00120979020979021 0.0013 0.000988 0.00131 0.001062 0.00126636363636364 0.00105 0.00137090909090909
chr_21 150001 160000 0.00127307692307692 0.00134615384615385 0.00143706293706294 0.00147230769230769 0.001222 0.00142818181818182 0.001346 0.00138727272727273 0.001424 0.00155636363636364
chr_21 160001 170000 0.00159538461538462 0.00178 0.00178461538461538 0.00202230769230769 0.00166 0.00172363636363636 0.001808 0.00177272727272727 0.0021 0.00215363636363636
chr_21 170001 180000 0.00201769230769231 0.00212538461538462 0.00194615384615385 0.00205 0.001966 0.00187909090909091 0.001882 0.00187 0.002122 0.00196818181818182
chr_21 180001 190000 0.00152538461538462 0.00174384615384615 0.00153986013986014 0.00161538461538462 0.001612 0.00142636363636364 0.001466 0.00149363636363636 0.001604 0.00146
chr_21 190001 2e+05 0.00104923076923077 0.00115384615384615 0.00133076923076923 0.00114846153846154 0.00109 0.00134545454545455 0.001104 0.00138 0.001176 0.00143363636363636
chr_21 200001 210000 0.00252461538461538 0.00265076923076923 0.00245874125874126 0.00241153846153846 0.002724 0.00265636363636364 0.002452 0.00273272727272727 0.002702 0.00262454545454545
chr_21 210001 220000 0.00357076923076923 0.00300846153846154 0.00302027972027972 0.00307 0.003296 0.00361818181818182 0.003346 0.00290636363636364 0.0029 0.00299
chr_21 220001 230000 0.00311846153846154 0.00299153846153846 0.00301608391608392 0.00288461538461538 0.003314 0.00352363636363636 0.003098 0.00314454545454545 0.00318 0.00317272727272727
chr_21 230001 240000 0.00287769230769231 0.00255 0.00263146853146853 0.00244384615384615 0.003088 0.00323363636363636 0.002908 0.00290272727272727 0.002634 0.00281
chr_21 240001 250000 0.00390538461538462 0.00373461538461538 0.00342937062937063 0.00339307692307692 0.004508 0.00434272727272727 0.004202 0.00387727272727273 0.004026 0.00373
chr_21 250001 260000 0.00410230769230769 0.00369076923076923 0.00356083916083916 0.00357692307692308 0.00365 0.00394454545454545 0.003768 0.00362 0.003312 0.00362727272727273
chr_21 260001 270000 0.00587230769230769 0.00565769230769231 0.00545244755244755 0.00567307692307692 0.005664 0.00582545454545455 0.005634 0.00565545454545455 0.005374 0.00538818181818182
chr_21 270001 280000 0.00420230769230769 0.00396307692307692 0.00365804195804196 0.00406692307692308 0.004096 0.00410454545454545 0.003806 0.00388363636363636 0.004006 0.00395363636363636
