chr start stop Azores Belgium Canary CapeVerde Spain_Caz
chr_21 1 10000 4.61538461538462e-05 8e-05 2e-05 0.000138181818181818 7.55555555555556e-05
chr_21 10001 20000 0.00127948717948718 0.000897777777777778 0.00066 0.00111636363636364 0.000691111111111111
chr_21 20001 30000 0.000733333333333333 0.000593333333333333 0.000697777777777778 0.000647272727272727 0.000706666666666667
chr_21 30001 40000 0.000964102564102564 0.000808888888888889 0.000844444444444444 0.00100727272727273 0.000762222222222222
chr_21 40001 50000 0.000584615384615385 0.00068 0.000622222222222222 0.000814545454545455 0.000624444444444444
chr_21 50001 60000 0.000697435897435897 0.000768888888888889 0.000515555555555556 0.000687272727272727 0.000653333333333333
chr_21 60001 70000 0.000569230769230769 0.000553333333333333 0.000662222222222222 0.000669090909090909 0.000535555555555556
chr_21 70001 80000 0.000643589743589744 0.000722222222222222 8e-04 0.000727272727272727 0.000431111111111111
chr_21 80001 90000 0.000561538461538462 0.00044 0.000542222222222222 0.000563636363636364 0.000415555555555556
chr_21 90001 1e+05 0.000441025641025641 0.000455555555555556 0.000802222222222222 0.000832727272727273 0.000377777777777778
chr_21 100001 110000 0.000415384615384615 0.000624444444444444 0.000444444444444444 0.000632727272727273 0.00046
chr_21 110001 120000 0.000569230769230769 0.000526666666666667 0.000462222222222222 0.000512727272727273 0.000317777777777778
chr_21 120001 130000 0.00038974358974359 0.000553333333333333 0.00038 0.000316363636363636 0.000333333333333333
chr_21 130001 140000 0.000697435897435897 0.000853333333333333 0.00054 0.000949090909090909 0.000895555555555556
chr_21 140001 150000 0.00101282051282051 0.00109555555555556 0.000917777777777778 0.00136727272727273 0.00114666666666667
chr_21 150001 160000 0.0012025641025641 0.00126444444444444 0.00114666666666667 0.00154545454545455 0.00148
chr_21 160001 170000 0.00155128205128205 0.00145333333333333 0.00178222222222222 0.00190545454545455 0.00199777777777778
chr_21 170001 180000 0.00183076923076923 0.00181555555555556 0.00199777777777778 0.00176363636363636 0.00178888888888889
chr_21 180001 190000 0.00149230769230769 0.00145111111111111 0.00156666666666667 0.00142181818181818 0.00150222222222222
chr_21 190001 2e+05 0.00105384615384615 0.000977777777777778 0.00117333333333333 0.00153818181818182 0.00122
chr_21 200001 210000 0.00224871794871795 0.00230666666666667 0.00285333333333333 0.00263272727272727 0.00258444444444444
chr_21 210001 220000 0.00305384615384615 0.00375555555555556 0.00284666666666667 0.00283272727272727 0.00292666666666667
chr_21 220001 230000 0.00246666666666667 0.00318666666666667 0.00326 0.00312727272727273 0.00249333333333333
chr_21 230001 240000 0.00199230769230769 0.00307333333333333 0.00286888888888889 0.00296727272727273 0.00235333333333333
chr_21 240001 250000 0.00284871794871795 0.00439333333333333 0.00404666666666667 0.00371636363636364 0.00374888888888889
chr_21 250001 260000 0.00323333333333333 0.00385111111111111 0.00344888888888889 0.00360727272727273 0.00318222222222222
chr_21 260001 270000 0.00553333333333333 0.00550222222222222 0.00542888888888889 0.00544727272727273 0.00525111111111111
chr_21 270001 280000 0.00353589743589744 0.00393555555555556 0.00402222222222222 0.00373090909090909 0.00368666666666667
chr_21 280001 290000 0.00417435897435897 0.00571555555555556 0.00503777777777778 0.00442909090909091 0.00418666666666667
chr_21 290001 3e+05 0.00415897435897436 0.00492 0.00438888888888889 0.00448 0.00407555555555556
chr_21 300001 310000 0.00324871794871795 0.00401333333333333 0.00358444444444444 0.00386545454545455 0.00371111111111111
chr_21 310001 320000 0.00433846153846154 0.00512 0.00526 0.00477454545454545 0.00447555555555556
chr_21 320001 330000 0.00422564102564103 0.00582444444444444 0.00543555555555556 0.00516 0.00474444444444444
chr_21 330001 340000 0.00446666666666667 0.00528666666666667 0.00491111111111111 0.00462545454545455 0.00462
chr_21 340001 350000 0.0041 0.00517333333333333 0.00516888888888889 0.00425454545454545 0.00466
chr_21 350001 360000 0.00424871794871795 0.00528666666666667 0.00473555555555556 0.00442545454545454 0.00505555555555556
chr_21 360001 370000 0.00487948717948718 0.00636 0.00593333333333333 0.00537818181818182 0.00577111111111111
chr_21 370001 380000 0.00363589743589744 0.00412444444444444 0.00431111111111111 0.004 0.00434222222222222
chr_21 380001 390000 0.00247179487179487 0.00293555555555556 0.00289555555555556 0.00272727272727273 0.00277555555555556
chr_21 390001 4e+05 0.00467179487179487 0.00605333333333333 0.00566 0.00510909090909091 0.00593111111111111
chr_21 400001 410000 0.0058025641025641 0.00592888888888889 0.00582222222222222 0.00545818181818182 0.00608
chr_21 410001 420000 0.00354871794871795 0.00456222222222222 0.00451111111111111 0.00340727272727273 0.00416
chr_21 420001 430000 0.00345384615384615 0.00503555555555556 0.00415555555555556 0.00346545454545455 0.00432444444444444
chr_21 430001 440000 0.00397435897435897 0.00487333333333333 0.00412 0.00409454545454545 0.00456222222222222
chr_21 440001 450000 0.00408461538461538 0.00527333333333333 0.00412666666666667 0.00501090909090909 0.00482
chr_21 450001 460000 0.00341282051282051 0.00418222222222222 0.00438888888888889 0.00368363636363636 0.00368888888888889
chr_21 460001 470000 0.00295897435897436 0.0028 0.00284222222222222 0.00330545454545455 0.00282
chr_21 470001 480000 0.00337692307692308 0.00411777777777778 0.00335333333333333 0.00378181818181818 0.00402666666666667
chr_21 480001 490000 0.00417948717948718 0.00494444444444444 0.00420444444444444 0.00465454545454545 0.00384
chr_21 490001 5e+05 0.00471025641025641 0.00684444444444444 0.00675333333333333 0.00486545454545455 0.00514666666666667
chr_21 500001 510000 0.00372051282051282 0.00501777777777778 0.00459111111111111 0.00419272727272727 0.00441111111111111
chr_21 510001 520000 0.00344102564102564 0.00386222222222222 0.0032 0.00361454545454545 0.00366888888888889
chr_21 520001 530000 0.00294615384615385 0.00334666666666667 0.00300888888888889 0.00272 0.00351777777777778
chr_21 530001 540000 0.00617179487179487 0.00750888888888889 0.00701111111111111 0.00599272727272727 0.00658444444444444
chr_21 540001 550000 0.00434102564102564 0.00583777777777778 0.00483777777777778 0.00464 0.00544444444444444
chr_21 550001 560000 0.00431025641025641 0.00556222222222222 0.00472888888888889 0.00462181818181818 0.00557111111111111
chr_21 560001 570000 0.00374871794871795 0.00436 0.00455111111111111 0.00391636363636364 0.00404
chr_21 570001 580000 0.00314358974358974 0.00349777777777778 0.00338666666666667 0.00342545454545454 0.00322666666666667
chr_21 580001 590000 0.00420769230769231 0.00537111111111111 0.00478444444444444 0.00498181818181818 0.00484888888888889
chr_21 590001 6e+05 0.00420512820512821 0.00504444444444444 0.00518666666666667 0.00472727272727273 0.00492
chr_21 600001 610000 0.00373333333333333 0.00493333333333333 0.00543111111111111 0.00412363636363636 0.00548
chr_21 610001 620000 0.0018974358974359 0.00229111111111111 0.00236222222222222 0.00198545454545455 0.00208222222222222
chr_21 620001 630000 0.00366666666666667 0.00484888888888889 0.00442888888888889 0.00377454545454545 0.00394222222222222
chr_21 630001 640000 0.0034 0.00460666666666667 0.00424666666666667 0.00395636363636364 0.00438222222222222
chr_21 640001 650000 0.00352051282051282 0.00447333333333333 0.00398666666666667 0.00425818181818182 0.00455777777777778
chr_21 650001 660000 0.00313589743589744 0.00441333333333333 0.00353333333333333 0.00359272727272727 0.00390222222222222
chr_21 660001 670000 0.00297435897435897 0.00406666666666667 0.00388666666666667 0.00353454545454545 0.00417555555555556
chr_21 670001 680000 0.00356666666666667 0.00457555555555556 0.00431555555555556 0.00378545454545454 0.00447333333333333
chr_21 680001 690000 0.00434358974358974 0.00590666666666667 0.00613555555555556 0.00535272727272727 0.00598
chr_21 690001 7e+05 0.00473333333333333 0.00601555555555556 0.00510888888888889 0.00426181818181818 0.00529111111111111
chr_21 700001 710000 0.00355384615384615 0.00420666666666667 0.00433777777777778 0.00322545454545455 0.00399333333333333
chr_21 710001 720000 0.00334871794871795 0.00378 0.00373555555555556 0.00309090909090909 0.00386444444444444
